"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2018","70.408","71.327","71.362","70.405","","-1.29%"
"03/19/2018","71.327","70.628","71.550","70.521","","0.99%"
"03/16/2018","70.628","70.676","71.009","70.628","","-0.07%"
"03/15/2018","70.676","70.690","70.904","70.367","","-0.02%"
"03/14/2018","70.690","70.660","70.830","70.292","","0.04%"
"03/13/2018","70.660","70.180","70.772","70.073","","0.68%"
"03/12/2018","70.180","69.743","70.221","69.702","","0.63%"
"03/09/2018","69.743","70.494","70.503","69.720","","-1.07%"
"03/07/2018","70.494","70.305","70.897","70.300","","0.27%"
"03/06/2018","70.305","69.603","70.426","69.603","","1.01%"
"03/05/2018","69.603","70.042","70.406","69.570","","-0.63%"
"03/02/2018","70.042","69.674","70.591","69.387","","0.53%"
"03/01/2018","69.674","68.760","69.775","68.760","","1.33%"
"02/28/2018","68.760","68.856","68.977","68.516","","-0.14%"
"02/27/2018","68.856","68.573","68.933","68.506","","0.41%"
"02/26/2018","68.573","69.635","69.635","68.573","","-1.53%"
"02/22/2018","69.635","69.690","69.912","69.560","","-0.08%"
"02/21/2018","69.690","69.785","69.886","69.638","","-0.14%"
"02/20/2018","69.785","70.063","70.063","69.591","","-0.40%"
"02/19/2018","70.063","70.000","70.114","69.809","","0.09%"
"02/16/2018","70.000","70.522","70.724","69.910","","-0.74%"
"02/15/2018","70.522","70.637","70.950","70.492","","-0.16%"
"02/14/2018","70.637","71.225","71.334","70.520","","-0.82%"
"02/13/2018","71.225","71.090","71.567","71.073","","0.19%"
"02/12/2018","71.090","71.453","71.457","70.838","","-0.51%"
"02/09/2018","71.453","71.559","71.837","71.024","","-0.15%"
"02/08/2018","71.559","70.669","71.570","70.609","","1.26%"
"02/07/2018","70.669","70.368","70.723","70.216","","0.43%"
"02/06/2018","70.368","70.971","71.032","70.337","","-0.85%"
"02/05/2018","70.971","70.444","71.043","70.341","","0.75%"
"02/02/2018","70.444","69.989","70.453","69.944","","0.65%"
"02/01/2018","69.989","69.750","70.257","69.638","","0.34%"
"01/31/2018","69.750","69.910","70.243","69.730","","-0.23%"
"01/30/2018","69.910","69.725","70.045","69.379","","0.27%"
"01/29/2018","69.725","69.793","69.980","69.558","","-0.10%"
"01/26/2018","69.793","69.375","69.940","69.372","","0.60%"
"01/25/2018","69.375","69.620","69.885","69.115","","-0.35%"
"01/24/2018","69.620","69.298","69.854","69.290","","0.47%"
"01/23/2018","69.298","69.267","69.413","68.987","","0.04%"
"01/22/2018","69.267","69.345","69.392","69.102","","-0.11%"
"01/19/2018","69.345","69.130","69.543","69.130","","0.31%"
"01/18/2018","69.130","69.318","69.399","69.010","","-0.27%"
"01/17/2018","69.318","69.348","69.569","69.052","","-0.04%"
"01/16/2018","69.348","69.149","69.370","68.889","","0.29%"
"01/15/2018","69.149","68.977","69.473","68.731","","0.25%"
"01/12/2018","68.977","67.860","69.000","67.857","","1.65%"
"01/11/2018","67.860","68.168","68.503","67.860","","-0.45%"
"01/10/2018","68.168","68.020","68.481","67.745","","0.22%"
"01/09/2018","68.020","68.669","68.675","67.786","","-0.95%"
"01/05/2018","68.669","68.641","68.835","68.510","","0.04%"
"01/04/2018","68.641","68.899","69.045","68.515","","-0.37%"
"01/03/2018","68.899","69.245","69.262","68.755","","-0.50%"
"12/29/2017","69.245","68.650","69.494","68.650","","0.87%"
"12/28/2017","68.650","68.683","68.809","68.464","","-0.05%"
"12/27/2017","68.683","68.376","68.893","68.177","","0.45%"
"12/26/2017","68.376","68.770","68.863","68.358","","-0.57%"
"12/25/2017","68.770","69.235","69.295","68.615","","-0.67%"
"12/22/2017","69.235","69.408","69.408","68.954","","-0.25%"
"12/21/2017","69.408","69.740","69.740","69.274","","-0.48%"
"12/20/2017","69.740","69.625","69.802","69.387","","0.17%"
"12/19/2017","69.625","69.092","69.660","69.092","","0.77%"
"12/18/2017","69.092","69.125","69.342","69.006","","-0.05%"
"12/15/2017","69.125","69.298","69.638","69.095","","-0.25%"
"12/14/2017","69.298","69.317","69.631","69.214","","-0.03%"
"12/13/2017","69.317","69.649","69.669","69.000","","-0.48%"
"12/12/2017","69.649","69.508","69.649","69.200","","0.20%"
"12/11/2017","69.508","69.640","69.971","69.475","","-0.19%"
"12/08/2017","69.640","69.723","69.755","69.486","","-0.12%"
"12/07/2017","69.723","69.869","69.992","69.652","","-0.21%"
"12/06/2017","69.869","69.470","69.949","69.450","","0.57%"
"12/05/2017","69.470","69.685","69.823","69.270","","-0.31%"
"12/04/2017","69.685","70.057","70.070","69.498","","-0.53%"
"12/01/2017","70.057","69.525","70.518","69.418","","0.77%"
"11/30/2017","69.525","69.500","69.758","69.100","","0.04%"
"11/29/2017","69.500","69.131","69.613","68.999","","0.53%"
"11/28/2017","69.131","69.592","69.703","69.081","","-0.66%"
"11/27/2017","69.592","69.641","69.641","69.279","","-0.07%"
"11/24/2017","69.641","69.300","69.715","69.187","","0.49%"
"11/23/2017","69.300","69.088","69.330","69.063","","0.31%"
"11/22/2017","69.088","69.440","69.551","68.911","","-0.51%"
"11/21/2017","69.440","69.617","69.920","69.360","","-0.25%"
"11/20/2017","69.617","69.728","70.184","69.509","","-0.16%"
"11/17/2017","69.728","70.236","70.442","69.626","","-0.72%"
"11/16/2017","70.236","71.050","71.050","70.125","","-1.15%"
"11/15/2017","71.050","71.021","71.556","70.860","","0.04%"
"11/14/2017","71.021","69.269","71.027","69.269","","2.53%"
"11/13/2017","69.269","69.069","69.451","68.809","","0.29%"
"11/10/2017","69.069","69.010","69.123","68.817","","0.09%"
"11/09/2017","69.010","68.665","69.190","68.665","","0.50%"
"11/08/2017","68.665","68.790","69.091","68.473","","-0.18%"
"11/07/2017","68.790","68.599","68.795","67.656","","0.28%"
"11/03/2017","68.599","67.796","68.841","67.795","","1.18%"
"11/02/2017","67.796","67.740","68.144","67.559","","0.08%"
"11/01/2017","67.740","67.937","67.937","67.480","","-0.29%"
"10/31/2017","67.937","67.538","68.203","67.453","","0.59%"
"10/30/2017","67.538","67.353","67.570","67.049","","0.27%"
"10/27/2017","67.353","67.453","68.125","67.311","","-0.15%"
"10/26/2017","67.453","68.213","68.388","67.352","","-1.11%"
"10/25/2017","68.213","67.790","68.257","67.695","","0.62%"
"10/24/2017","67.790","67.590","67.890","67.493","","0.30%"
